Season,Team Name,Seed,Region,Post-Season Tournament,Post-Season Tournament Sorting Index,Vulnerable Top 2 Seed?,Tournament Winner?,Tournament Championship?,Final Four?
2023,USC,10,East,March Madness,1,,,,
2023,Marquette,2,East,March Madness,1,No,,,
2023,Vermont,15,East,March Madness,1,,,,
2023,Houston,1,Midwest,March Madness,1,No,,,
2023,Northern Kentucky,16,Midwest,March Madness,1,,,,
2023,Iowa,8,Midwest,March Madness,1,,,,
2023,Auburn,9,Midwest,March Madness,1,,,,
2023,Miami,5,Midwest,March Madness,1,,,,Yes
2023,Drake,12,Midwest,March Madness,1,,,,
2023,Indiana,4,Midwest,March Madness,1,,,,
2023,Kent State,13,Midwest,March Madness,1,,,,
2023,Iowa State,6,Midwest,March Madness,1,,,,
2023,Pittsburgh,11,Midwest,March Madness,1,,,,
2023,Xavier,3,Midwest,March Madness,1,,,,
2023,Kennesaw State,14,Midwest,March Madness,1,,,,
2023,Texas A&M,7,Midwest,March Madness,1,,,,
2023,Penn State,10,Midwest,March Madness,1,,,,
2023,Texas,2,Midwest,March Madness,1,No,,,
2023,Colgate,15,Midwest,March Madness,1,,,,
2023,Kansas,1,West,March Madness,1,No,,,
2023,Howard,16,West,March Madness,1,,,,
2023,Arkansas,8,West,March Madness,1,,,,
2023,Illinois,9,West,March Madness,1,,,,
2023,Saint Mary's,5,West,March Madness,1,,,,
2023,VCU,12,West,March Madness,1,,,,
2023,UConn,4,West,March Madness,1,,Yes,Yes,Yes
2023,Iona,13,West,March Madness,1,,,,
2023,TCU,6,West,March Madness,1,,,,
2023,Arizona State,11,West,March Madness,1,,,,
2023,Nevada,11,West,March Madness,1,,,,
2023,Gonzaga,3,West,March Madness,1,,,,
2023,Grand Canyon,14,West,March Madness,1,,,,
2023,Northwestern,7,West,March Madness,1,,,,
2023,Boise State,10,West,March Madness,1,,,,
2023,UCLA,2,West,March Madness,1,No,,,
2023,UNC Asheville,15,West,March Madness,1,,,,
2022,Gonzaga,1,West,March Madness,1,No,,,
2022,Georgia State,16,West,March Madness,1,,,,
2022,Boise State,8,West,March Madness,1,,,,
2022,Memphis,9,West,March Madness,1,,,,
2022,UConn,5,West,March Madness,1,,,,
2022,New Mexico State,12,West,March Madness,1,,,,
2022,Arkansas,4,West,March Madness,1,,,,
2022,Vermont,13,West,March Madness,1,,,,
2022,Alabama,6,West,March Madness,1,,,,
2022,Notre Dame,11,West,March Madness,1,,,,
2022,Rutgers,11,West,March Madness,1,,,,
2022,Texas Tech,3,West,March Madness,1,,,,
2022,Montana State,14,West,March Madness,1,,,,
2022,Michigan State,7,West,March Madness,1,,,,
2022,Davidson,10,West,March Madness,1,,,,
2022,Duke,2,West,March Madness,1,No,,,Yes
2022,Cal State Fullerton,15,West,March Madness,1,,,,
2022,Baylor,1,East,March Madness,1,Yes,,,
2022,Norfolk State,16,East,March Madness,1,,,,
2022,North Carolina,8,East,March Madness,1,,,Yes,Yes
2022,Marquette,9,East,March Madness,1,,,,
2022,Saint Mary's,5,East,March Madness,1,,,,
2022,Indiana,12,East,March Madness,1,,,,
2022,Wyoming,12,East,March Madness,1,,,,
2022,UCLA,4,East,March Madness,1,,,,
2022,Akron,13,East,March Madness,1,,,,
2022,Texas,6,East,March Madness,1,,,,
2022,Virginia Tech,11,East,March Madness,1,,,,
2022,Purdue,3,East,March Madness,1,,,,
2022,Yale,14,East,March Madness,1,,,,
2022,Murray State,7,East,March Madness,1,,,,
2022,San Francisco,10,East,March Madness,1,,,,
2022,Kentucky,2,East,March Madness,1,No,,,
2022,Saint Peter's,15,East,March Madness,1,,,,
2022,Arizona,1,South,March Madness,1,No,,,
2022,Wright State,16,South,March Madness,1,,,,
2022,Bryant,16,South,March Madness,1,,,,
2022,Seton Hall,8,South,March Madness,1,,,,
2022,TCU,9,South,March Madness,1,,,,
2022,Houston,5,South,March Madness,1,,,,
2022,UAB,12,South,March Madness,1,,,,
2022,Illinois,4,South,March Madness,1,,,,
2022,Chattanooga,13,South,March Madness,1,,,,
2022,Colorado State,6,South,March Madness,1,,,,
2022,Michigan,11,South,March Madness,1,,,,
2022,Tennessee,3,South,March Madness,1,,,,
2022,Longwood,14,South,March Madness,1,,,,
2022,Ohio State,7,South,March Madness,1,,,,
2022,Loyola Chicago,10,South,March Madness,1,,,,
2022,Villanova,2,South,March Madness,1,No,,,Yes
2022,Delaware,15,South,March Madness,1,,,,
2022,Kansas,1,Midwest,March Madness,1,No,Yes,Yes,Yes
2022,Texas Southern,16,Midwest,March Madness,1,,,,
2022,Texas A&M-Corpus Christi,16,Midwest,March Madness,1,,,,
2022,San Diego State,8,Midwest,March Madness,1,,,,
2022,Creighton,9,Midwest,March Madness,1,,,,
2022,Iowa,5,Midwest,March Madness,1,,,,
2022,Richmond,12,Midwest,March Madness,1,,,,
2022,Providence,4,Midwest,March Madness,1,,,,
2022,South Dakota State,13,Midwest,March Madness,1,,,,
2022,LSU,6,Midwest,March Madness,1,,,,
2022,Iowa State,11,Midwest,March Madness,1,,,,
2022,Wisconsin,3,Midwest,March Madness,1,,,,
2022,Colgate,15,Midwest,March Madness,1,,,,
2022,USC,7,Midwest,March Madness,1,,,,
2022,Miami,10,Midwest,March Madness,1,,,,
2022,Auburn,2,Midwest,March Madness,1,Yes,,,
2022,Jacksonville State,15,Midwest,March Madness,1,,,,
2021,Gonzaga,1,West,March Madness,1,No,,Yes,Yes
2021,Norfolk State,16,West,March Madness,1,,,,
2021,App State,16,West,March Madness,1,,,,
2021,Oklahoma,8,West,March Madness,1,,,,
2021,Missouri,9,West,March Madness,1,,,,
2021,Creighton,5,West,March Madness,1,,,,
2021,UC Santa Barbara,12,West,March Madness,1,,,,
2021,Virginia,4,West,March Madness,1,,,,
2021,Ohio,13,West,March Madness,1,,,,
2021,USC,6,West,March Madness,1,,,,
2021,Drake,11,West,March Madness,1,,,,
2021,Wichita State,11,West,March Madness,1,,,,
2021,Kansas,3,West,March Madness,1,,,,
2021,Eastern Washington,14,West,March Madness,1,,,,
2021,Oregon,7,West,March Madness,1,,,,
2021,VCU,10,West,March Madness,1,,,,
2021,Iowa,2,West,March Madness,1,No,,,
2021,Grand Canyon,15,West,March Madness,1,,,,
2021,Michigan,1,East,March Madness,1,No,,,
2021,Texas Southern,16,East,March Madness,1,,,,
2021,Mount St. Mary's,16,East,March Madness,1,,,,
2021,LSU,8,East,March Madness,1,,,,
2021,St. Bonaventure,9,East,March Madness,1,,,,
2021,Colorado,5,East,March Madness,1,,,,
2021,Georgetown,12,East,March Madness,1,,,,
2021,Florida State,4,East,March Madness,1,,,,
2021,UNC Greensboro,13,East,March Madness,1,,,,
2021,BYU,6,East,March Madness,1,,,,
2021,UCLA,11,East,March Madness,1,,,,Yes
2021,Michigan State,11,East,March Madness,1,,,,
2021,Texas,3,East,March Madness,1,,,,
2021,Abilene Christian,14,East,March Madness,1,,,,
2021,UConn,7,East,March Madness,1,,,,
2021,Maryland,10,East,March Madness,1,,,,
2021,Alabama,2,East,March Madness,1,No,,,
2021,Iona,15,East,March Madness,1,,,,
2021,Baylor,1,South,March Madness,1,No,Yes,Yes,Yes
2021,Hartford,16,South,March Madness,1,,,,
2021,North Carolina,8,South,March Madness,1,,,,
2021,Wisconsin,9,South,March Madness,1,,,,
2021,Villanova,5,South,March Madness,1,,,,
2021,Winthrop,12,South,March Madness,1,,,,
2021,Purdue,4,South,March Madness,1,,,,
2021,North Texas,13,South,March Madness,1,,,,
2021,Texas Tech,6,South,March Madness,1,,,,
2021,Utah State,11,South,March Madness,1,,,,
2021,Arkansas,3,South,March Madness,1,,,,
2021,Colgate,14,South,March Madness,1,,,,
2021,Florida,7,South,March Madness,1,,,,
2021,Virginia Tech,10,South,March Madness,1,,,,
2021,Ohio State,2,South,March Madness,1,No,,,
2021,Oral Roberts,15,South,March Madness,1,,,,
2021,Illinois,1,Midwest,March Madness,1,No,,,
2021,Drexel,16,Midwest,March Madness,1,,,,
2021,Loyola Chicago,8,Midwest,March Madness,1,,,,
2021,Georgia Tech,9,Midwest,March Madness,1,,,,
2021,Tennessee,5,Midwest,March Madness,1,,,,
2021,Oregon State,12,Midwest,March Madness,1,,,,
2021,Oklahoma State,4,Midwest,March Madness,1,,,,
2021,Liberty,13,Midwest,March Madness,1,,,,
2021,San Diego State,6,Midwest,March Madness,1,,,,
2021,Syracuse,11,Midwest,March Madness,1,,,,
2021,West Virginia,3,Midwest,March Madness,1,,,,
2021,Morehead State,14,Midwest,March Madness,1,,,,
2021,Clemson,7,Midwest,March Madness,1,,,,
2021,Rutgers,10,Midwest,March Madness,1,,,,
2021,Houston,2,Midwest,March Madness,1,No,,,Yes
2021,Cleveland State,15,Midwest,March Madness,1,,,,
2019,Duke,1,East,March Madness,1,No,,,
2019,North Dakota State,16,East,March Madness,1,,,,
2019,North Carolina Central,16,East,March Madness,1,,,,
2019,VCU,8,East,March Madness,1,,,,
2019,UCF,9,East,March Madness,1,,,,
2019,Mississippi State,5,East,March Madness,1,,,,
2019,Liberty,12,East,March Madness,1,,,,
2019,Virginia Tech,4,East,March Madness,1,,,,
2019,Saint Louis,13,East,March Madness,1,,,,
2019,Maryland,6,East,March Madness,1,,,,
2019,Belmont,11,East,March Madness,1,,,,
2019,Temple,11,East,March Madness,1,,,,
2019,LSU,3,East,March Madness,1,,,,
2019,Yale,14,East,March Madness,1,,,,
2019,Louisville,7,East,March Madness,1,,,,
2019,Minnesota,10,East,March Madness,1,,,,
2019,Michigan State,2,East,March Madness,1,No,,,Yes
2019,Bradley,15,East,March Madness,1,,,,
2019,Gonzaga,1,West,March Madness,1,No,,,
2019,Fairleigh Dickinson,16,West,March Madness,1,,,,
2019,Prairie View A&M,16,West,March Madness,1,,,,
2019,Syracuse,8,West,March Madness,1,,,,
2019,Baylor,9,West,March Madness,1,,,,
2019,Marquette,5,West,March Madness,1,,,,
2019,Murray State,12,West,March Madness,1,,,,
2019,Florida State,4,West,March Madness,1,,,,
2019,Vermont,13,West,March Madness,1,,,,
2019,Buffalo,6,West,March Madness,1,,,,
2019,Arizona State,11,West,March Madness,1,,,,
2019,St. John's,11,West,March Madness,1,,,,
2019,Texas Tech,3,West,March Madness,1,,,Yes,Yes
2019,Northern Kentucky,14,West,March Madness,1,,,,
2019,Nevada,7,West,March Madness,1,,,,
2019,Florida,10,West,March Madness,1,,,,
2019,Michigan,2,West,March Madness,1,No,,,
2019,Montana,15,West,March Madness,1,,,,
2019,Virginia,1,South,March Madness,1,No,Yes,Yes,Yes
2019,Gardner-Webb,16,South,March Madness,1,,,,
2019,Ole Miss,8,South,March Madness,1,,,,
2019,Oklahoma,9,South,March Madness,1,,,,
2019,Wisconsin,5,South,March Madness,1,,,,
2019,Oregon,12,South,March Madness,1,,,,
2019,Kansas State,4,South,March Madness,1,,,,
2019,UC Irvine,13,South,March Madness,1,,,,
2019,Villanova,6,South,March Madness,1,,,,
2019,Saint Mary's,11,South,March Madness,1,,,,
2019,Purdue,3,South,March Madness,1,,,,
2019,Old Dominion,14,South,March Madness,1,,,,
2019,Cincinnati,7,South,March Madness,1,,,,
2019,Iowa,10,South,March Madness,1,,,,
2019,Tennessee,2,South,March Madness,1,No,,,
2019,Colgate,15,South,March Madness,1,,,,
2019,North Carolina,1,Midwest,March Madness,1,No,,,
2019,Iona,16,Midwest,March Madness,1,,,,
2019,Utah State,8,Midwest,March Madness,1,,,,
2019,Washington,9,Midwest,March Madness,1,,,,
2019,Auburn,5,Midwest,March Madness,1,,,,Yes
2019,New Mexico State,12,Midwest,March Madness,1,,,,
2019,Kansas,4,Midwest,March Madness,1,,,,
2019,Northeastern,13,Midwest,March Madness,1,,,,
2019,Iowa State,6,Midwest,March Madness,1,,,,
2019,Ohio State,11,Midwest,March Madness,1,,,,
2019,Houston,3,Midwest,March Madness,1,,,,
2019,Georgia State,14,Midwest,March Madness,1,,,,
2019,Wofford,7,Midwest,March Madness,1,,,,
2019,Seton Hall,10,Midwest,March Madness,1,,,,
2019,Kentucky,2,Midwest,March Madness,1,No,,,
2019,Abilene Christian,15,Midwest,March Madness,1,,,,
2018,Virginia,1,South,March Madness,1,No,,,
2018,UMBC,16,South,March Madness,1,,,,
2018,Creighton,8,South,March Madness,1,,,,
2018,Kansas State,9,South,March Madness,1,,,,
2018,Kentucky,5,South,March Madness,1,,,,
2018,Davidson,12,South,March Madness,1,,,,
2018,Arizona,4,South,March Madness,1,,,,
2018,Buffalo,13,South,March Madness,1,,,,
2018,Miami,6,South,March Madness,1,,,,
2018,Loyola Chicago,11,South,March Madness,1,,,,Yes
2018,Tennessee,3,South,March Madness,1,,,,
2018,Wright State,14,South,March Madness,1,,,,
2018,Nevada,7,South,March Madness,1,,,,
2018,Texas,10,South,March Madness,1,,,,
2018,Cincinnati,2,South,March Madness,1,No,,,
2018,Georgia State,15,South,March Madness,1,,,,
2018,Xavier,1,West,March Madness,1,No,,,
2018,Texas Southern,16,West,March Madness,1,,,,
2018,North Carolina Central,16,West,March Madness,1,,,,
2018,Missouri,8,West,March Madness,1,,,,
2018,Florida State,9,West,March Madness,1,,,,
2018,Ohio State,5,West,March Madness,1,,,,
2018,South Dakota State,12,West,March Madness,1,,,,
2018,Gonzaga,4,West,March Madness,1,,,,
